Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
238,Christoph Baumgartner,AUT,MF,RB Leipzig,Bundesliga,25,1999,10.8,2,19,9,47.4,1.76,0.83,0.11,0.22,12.8,0,0,0,2.4,2.4,0.13,-0.4,-0.4
239,Rafael Bauza,ESP,MF,Espanyol,La Liga,20,2005,1.9,0,3,0,0,1.55,0,0,0,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
240,Adrian Beck,GER,"MF,FW",Heidenheim,Bundesliga,27,1997,6.3,2,14,4,28.6,2.23,0.64,0.14,0.5,18.6,0,0,0,1.7,1.7,0.12,0.3,0.3
241,Sheraldo Becker,SUR,"FW,MF",Real Sociedad,La Liga,29,1995,8.3,1,18,10,55.6,2.16,1.2,0.06,0.1,20,0,0,0,1.6,1.6,0.09,-0.6,-0.6
242,Timo Becker,GER,DF,Holstein Kiel,Bundesliga,27,1997,14.5,0,11,4,36.4,0.76,0.28,0,0,17.2,1,0,0,1.1,1.1,0.11,-1.1,-1.1
243,Jan Bednarek,POL,DF,Southampton,Premier League,28,1996,18.8,2,4,2,50,0.21,0.11,0.5,1,17.7,0,0,0,0.6,0.6,0.15,1.4,1.4
244,Donny van de Beek,NED,"MF,FW",Girona,La Liga,27,1997,11.6,2,12,3,25,1.04,0.26,0.17,0.67,13.5,0,0,0,1.2,1.2,0.1,0.8,0.8
245,Kevin Behrens,GER,FW,Wolfsburg,Bundesliga,33,1991,1.2,1,6,2,33.3,4.91,1.64,0.17,0.5,11.6,0,0,0,1.3,1.3,0.21,-0.3,-0.3
246,Maximilian Beier,GER,"FW,MF",Dortmund,Bundesliga,22,2002,10.5,3,17,5,29.4,1.62,0.48,0.18,0.6,13.6,0,0,0,3,3,0.17,0,0
247,Ismael Bekhoucha,MAR,MF,Getafe,La Liga,20,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Reda Belahyane,MAR,MF,Hellas Verona,Serie A,20,2004,17.4,0,5,1,20,0.29,0.06,0,0,24.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
249,Haris Belkebla,ALG,MF,Angers,Ligue 1,31,1994,14,0,3,0,0,0.21,0,0,0,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
250,Yassin Belkhdim,FRA,"MF,FW",Angers,Ligue 1,22,2002,7.3,0,6,3,50,0.82,0.41,0,0,18.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5
251,Stefan Bell,GER,DF,Mainz 05,Bundesliga,33,1991,13.1,0,8,2,25,0.61,0.15,0,0,11,0,0,0,0.6,0.6,0.08,-0.6,-0.6
252,Raoul Bellanova,ITA,DF,Torino,Serie A,24,2000,1,0,1,0,0,1.03,0,0,0,8.4,0,0,0,0,0,0.03,0,0
253,Raoul Bellanova,ITA,DF,Atalanta,Serie A,24,2000,15.2,0,13,4,30.8,0.85,0.26,0,0,16,0,0,0,0.8,0.8,0.06,-0.8,-0.8
254,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,Premier League,26,1998,9.6,1,12,2,16.7,1.26,0.21,0.08,0.5,22.1,1,0,0,0.8,0.8,0.06,0.2,0.2
255,Héctor Bellerín,ESP,DF,Betis,La Liga,29,1995,5.8,0,1,1,100,0.17,0.17,0,0,14.6,0,0,0,0.2,0.2,0.2,-0.2,-0.2
256,Jude Bellingham,ENG,MF,Real Madrid,La Liga,21,2003,15.7,7,29,11,37.9,1.85,0.7,0.21,0.55,17.7,0,1,2,6.6,5,0.17,0.4,1
257,Jeanuël Belocian,FRA,"DF,MF",Leverkusen,Bundesliga,19,2005,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Andrea Belotti,ITA,FW,Como,Serie A,31,1993,6.6,2,19,3,15.8,2.88,0.46,0.11,0.67,12.7,0,0,0,2.5,2.5,0.13,-0.5,-0.5
